passengerType,username,password,preferBusSelect,seatPref,numChildren
f,Family153,6281,,Aisle,3
b,BusPassenger884,5254,True,Window,
f,Family943,5403,,None,3
f,Family625,7597,,Aisle,2
b,BusPassenger144,1177,True,Aisle,
f,Family958,1591,,Window,2
t,Tourist599,5681,,,
f,Family459,6090,,None,3
f,Family280,8985,,Window,2
b,BusPassenger169,717,True,None,
t,Tourist19,593,,,
f,Family464,5718,,None,3
b,BusPassenger428,9545,True,Aisle,
b,BusPassenger396,9200,False,Aisle,
b,BusPassenger818,3779,False,Window,
t,Tourist930,2303,,,
b,BusPassenger899,7029,True,Aisle,
b,BusPassenger9,9257,False,None,
b,BusPassenger890,388,True,None,
t,Tourist463,3849,,,
b,BusPassenger55,9273,True,None,
t,Tourist931,3276,,,
t,Tourist44,666,,,
b,BusPassenger13,3159,False,Window,
t,Tourist881,2960,,,
t,Tourist199,1099,,,
f,Family974,7652,,Aisle,2
b,BusPassenger22,7223,True,Window,
t,Tourist633,8032,,,
f,Family191,4802,,Aisle,2
b,BusPassenger329,7791,False,Aisle,
t,Tourist142,5395,,,
t,Tourist967,2570,,,
f,Family781,6839,,Aisle,1
b,BusPassenger762,3572,False,Aisle,
t,Tourist944,2442,,,
f,Dakota,password123,,Window,2
